epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,12828.3,1.75312,1.26001,1.06714,0.74124,0.5879,0.68595,0.37093,1.4449,0.8944,1.21242,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,13629,1.75808,1.27026,1.0616,0.73926,0.59012,0.68701,0.37167,1.44337,0.89549,1.20813,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,14445.3,1.75038,1.25866,1.07586,0.74313,0.58831,0.68774,0.37202,1.44052,0.89626,1.20665,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15230.4,1.74404,1.25542,1.0644,0.74369,0.58808,0.68909,0.37384,1.43823,0.893,1.20465,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,16018.7,1.74582,1.2519,1.05924,0.74875,0.58562,0.68985,0.37421,1.43556,0.89134,1.20372,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,16817,1.73647,1.241,1.0596,0.74994,0.58909,0.69085,0.37516,1.43204,0.88855,1.2017,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,17606.1,1.72711,1.24005,1.05666,0.74717,0.59267,0.69233,0.37564,1.43227,0.88747,1.2025,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,18394.5,1.71901,1.22641,1.04946,0.74977,0.59148,0.69315,0.37603,1.43121,0.88637,1.20146,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,19176.5,1.72892,1.23773,1.0553,0.75399,0.59165,0.69403,0.37634,1.42934,0.88472,1.19924,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,19976.3,1.74208,1.25426,1.06135,0.75275,0.59455,0.69437,0.37705,1.42947,0.88524,1.19728,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,20772.4,1.72857,1.24782,1.05634,0.75126,0.59457,0.6942,0.37662,1.42631,0.88442,1.19527,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,21562.1,1.73734,1.24853,1.06179,0.7519,0.59356,0.69391,0.37693,1.42566,0.88285,1.19314,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,22353.4,1.73717,1.24456,1.06064,0.75059,0.5941,0.69458,0.37776,1.42448,0.87924,1.19264,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,23157.1,1.73818,1.23717,1.05109,0.74719,0.59634,0.69474,0.37774,1.42077,0.87586,1.18995,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,23959.7,1.72393,1.24234,1.04764,0.74833,0.59647,0.69491,0.3778,1.41988,0.87444,1.18877,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,24740.9,1.72308,1.24711,1.04842,0.75269,0.59624,0.69579,0.37872,1.41907,0.87241,1.1876,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,798.632,1.62265,1.11681,1.01333,0.75011,0.59693,0.6953,0.37856,1.41977,0.87231,1.18805,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,1614.89,1.6242,1.11423,1.01254,0.74968,0.59803,0.69557,0.37874,1.41932,0.87093,1.18781,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,2431.06,1.60763,1.09953,1.00984,0.74948,0.59859,0.69552,0.37873,1.41901,0.87003,1.18751,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3249.65,1.61809,1.09883,1.01169,0.7506,0.59714,0.69552,0.37902,1.41834,0.86894,1.18724,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4082.58,1.61,1.09187,1.00644,0.74623,0.60094,0.69613,0.37903,1.41875,0.86648,1.18766,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,4907.03,1.60904,1.08632,1.00759,0.74779,0.6002,0.69623,0.37858,1.41966,0.8652,1.18797,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5729.46,1.59783,1.0884,1.00366,0.75248,0.59714,0.69621,0.3788,1.41953,0.86506,1.18833,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6553.9,1.58773,1.07422,0.99601,0.74937,0.59937,0.69596,0.37865,1.41968,0.8636,1.188,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7384.13,1.59167,1.07314,0.99627,0.74881,0.6006,0.69593,0.37886,1.41926,0.8627,1.18779,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8238.43,1.60306,1.15336,1.02006,0.751,0.59937,0.69614,0.37872,1.41876,0.86251,1.18725,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,9057.47,1.59309,1.13509,1.01941,0.74912,0.59914,0.69559,0.37859,1.4185,0.86223,1.18664,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9875.97,1.60537,1.14451,1.01611,0.75072,0.59718,0.69515,0.37856,1.41823,0.86118,1.18617,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,10696.9,1.59623,1.14125,1.02294,0.75257,0.59668,0.69492,0.37828,1.41884,0.86087,1.18639,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,11539.1,1.58677,1.13335,1.01041,0.75322,0.59569,0.69446,0.3779,1.41867,0.86037,1.18612,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,12360.1,1.57239,1.09865,1.00903,0.75099,0.59671,0.69462,0.37788,1.41879,0.86022,1.18601,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,13184.2,1.58485,1.11875,1.007,0.75084,0.59747,0.69454,0.37777,1.41908,0.86,1.18561,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,14008.8,1.57416,1.09818,1.01183,0.74828,0.59779,0.69415,0.3777,1.41948,0.86012,1.18574,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,14845.5,1.56782,1.10092,1.00744,0.75255,0.59595,0.6938,0.37765,1.41921,0.86011,1.18534,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,15672.8,1.5718,1.11285,1.0027,0.75154,0.59679,0.69381,0.37767,1.41926,0.86011,1.18524,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
